"","X","Plate","Measure","Row","Col.5","Col.6","Col.7","Blank","Date","ID","Block","Sex","Diet","DOB","Treatment","Weight","Fat.Scores.Dorsal","Fat.Scores.Pelvic","days.since.1st.trt","days.since.2nd.trt","trt.history","1st.trt","2nd.trt","blank.avg","blank.sd","cutoff.new","age.lab","Env","grid","age.wild","repro","body.length.mm","ticks.total","fleas","mites","Testes","H.poly","Pinworms","Cestode","repro.bin","Col.5.bcen","Col.6.bcen","Col.7.bcen","Col.5.avg","Col.6.avg","Col.7.avg","OD.avg","days.since.1st.D.inj","Plate.Env","trt.history2"
"71",71,9,1,"G",2.737,2.546,2.354,0.081,"2018-06-04",9,1,"M","Low",NA,"ST",NA,NA,NA,35,14,"DD","D","D",0.076625,0.0121295094707082,0.113013528412125,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.660375,2.469375,2.277375,2.655875,2.386375,2.308875,2.450375,35,"9Lab","DD"
"72",72,9,1,"H",1.293,0.814,0.517,0.081,"2018-06-04",18,1,"M","High","2018-01-29","PC",24,NA,NA,35,14,"AD","A","D",0.076625,0.0121295094707082,0.113013528412125,126,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.216375,0.737375,0.440375,1.194875,0.752875,0.457875,0.801875,14,"9Lab","AD"
"73",73,10,1,"A",1.45,1.021,0.622,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07225,0.00634147346555086,0.0912744203966526,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37775,0.94875,0.54975,1.40525,0.94975,0.55975,0.971583333333333,NA,"10Lab",NA
"74",74,10,1,"B",1.323,0.822,0.481,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07225,0.00634147346555086,0.0912744203966526,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25075,0.74975,0.40875,1.25825,0.74925,0.41125,0.80625,NA,"10Lab",NA
"75",75,10,1,"C",2.733,2.553,2.223,0.067,"2018-05-24",51,2,"M","High","2018-02-18","ST",20.5,3,4,22,1,"DD","D","D",0.07225,0.00634147346555086,0.0912744203966526,95,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66075,2.48075,2.15075,2.66275,2.48575,2.16375,2.43741666666667,22,"10Lab","D"
"76",76,10,1,"D",2.481,2.095,1.782,0.064,"2018-05-22",30,1,"F","High","2018-02-21","ST",18,4,4,22,1,"DD","D","D",0.07225,0.00634147346555086,0.0912744203966526,90,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40875,2.02275,1.70975,2.37925,2.03075,1.69225,2.03408333333333,22,"10Lab","D"
"77",77,10,1,"E",1.947,1.432,0.945,0.074,"2018-05-17",29,1,"F","High","2018-02-21","SC",27,3,4,17,NA,"D","D","",0.07225,0.00634147346555086,0.0912744203966526,85,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87475,1.35975,0.87275,1.88875,1.35775,0.88975,1.37875,17,"10Lab","D"
"78",78,10,1,"F",0.054,0.046,0.054,0.079,"2018-05-17",8,1,"M","Low","2018-01-20","PC",24,3,3,17,NA,"A","A","",0.07225,0.00634147346555086,0.0912744203966526,117,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01825,-0.02625,-0.01825,-0.01525,-0.02475,-0.01725,-0.0190833333333333,NA,"10Lab","A"
"79",79,10,1,"G",1.756,1.178,0.611,0.066,"2018-06-04",6,1,"M","Low","2018-03-07","SC",25,NA,NA,35,14,"DA","D","A",0.07225,0.00634147346555086,0.0912744203966526,89,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68375,1.10575,0.53875,1.70575,1.14625,0.54725,1.13308333333333,35,"10Lab","DA"
"80",80,10,1,"H",1.662,1.202,0.769,0.07,"2018-05-14",12,1,"M","High","2018-02-19","ST",21.5,3,3,14,NA,"D","D","",0.07225,0.00634147346555086,0.0912744203966526,84,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58975,1.12975,0.69675,1.58225,1.14025,0.69775,1.14008333333333,14,"10Lab","D"
"81",81,11,1,"A",1.344,0.866,0.535,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07225,0.010525479290071,0.103826437870213,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27175,0.79375,0.46275,1.2775,0.7935,0.475,0.848666666666667,NA,"11Lab",NA
"82",82,11,1,"B",1.478,0.982,0.563,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07225,0.010525479290071,0.103826437870213,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40575,0.90975,0.49075,1.3935,0.8905,0.503,0.929,NA,"11Lab",NA
"83",83,11,1,"C",0.663,0.398,0.23,0.062,"2018-05-14",33,1,"F","High","2018-01-29","ST",19.5,3,4,14,NA,"D","D","",0.07225,0.010525479290071,0.103826437870213,105,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59075,0.32575,0.15775,0.591,0.334,0.1645,0.363166666666667,14,"11Lab","D"
"84",84,11,1,"D",1.09,0.664,0.386,0.077,"2018-06-06",62,2,"F","Low","2018-02-18","PC",16,NA,NA,35,14,"AD","A","D",0.07225,0.010525479290071,0.103826437870213,108,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01775,0.59175,0.31375,0.992,0.603,0.325,0.64,14,"11Lab","AD"
"85",85,11,1,"E",1.737,1.183,0.71,0.067,"2018-06-06",42,2,"M","Low","2018-01-19","PC",22.5,NA,NA,35,14,"AD","A","D",0.07225,0.010525479290071,0.103826437870213,138,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66475,1.11075,0.63775,1.597,1.085,0.6205,1.10083333333333,14,"11Lab","AD"
"86",86,11,1,"F",2.326,1.84,1.292,0.063,"2018-05-22",35,1,"F","High","2018-02-18","ST",16,3,3,22,1,"DD","D","D",0.07225,0.010525479290071,0.103826437870213,93,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25375,1.76775,1.21975,2.2135,1.688,1.2135,1.705,22,"11Lab","D"
"87",87,11,1,"G",2.981,2.674,2.439,0.069,"2018-06-04",2,1,"M","Low","2018-01-20","ST",22.5,NA,NA,35,14,"DD","D","D",0.07225,0.010525479290071,0.103826437870213,135,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.90875,2.60175,2.36675,2.8465,2.646,2.4385,2.64366666666667,35,"11Lab","DD"
"88",88,11,1,"H",2.574,2.14,1.731,0.078,"2018-06-06",47,2,"M","High","2018-03-07","SC",27,NA,NA,35,14,"DA","D","A",0.07225,0.010525479290071,0.103826437870213,91,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.50175,2.06775,1.65875,2.474,2.1145,1.686,2.0915,35,"11Lab","DA"
"89",89,12,1,"A",1.495,0.953,0.553,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067875,0.0163832449254021,0.117024734776206,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.427125,0.885125,0.485125,1.445,0.888,0.4985,0.943833333333333,NA,"12Lab",NA
"90",90,12,1,"B",1.463,0.967,0.576,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067875,0.0163832449254021,0.117024734776206,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.395125,0.899125,0.508125,1.4075,0.8995,0.505,0.937333333333333,NA,"12Lab",NA
"91",91,12,1,"C",0.057,0.048,0.051,0.073,"2018-05-24",42,2,"M","Low","2018-01-19","PC",21.5,3,4,22,1,"AD","A","D",0.067875,0.0163832449254021,0.117024734776206,125,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010875,-0.019875,-0.016875,-0.0095,-0.0205,-0.0165,-0.0155,1,"12Lab","A"
"92",92,12,1,"D",1.81,1.236,0.738,0.058,"2018-05-19",68,2,"F","High","2018-02-23","SC",21,3,4,17,NA,"D","D","",0.067875,0.0163832449254021,0.117024734776206,85,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.742125,1.168125,0.670125,1.758,1.1355,0.6755,1.18966666666667,17,"12Lab","D"
"93",93,12,1,"E",1.405,0.92,0.584,0.056,"2018-06-04",31,1,"F","High","2018-01-20","PC",17.5,NA,NA,35,14,"AD","A","D",0.067875,0.0163832449254021,0.117024734776206,135,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.337125,0.852125,0.516125,1.347,0.8525,0.5155,0.905,14,"12Lab","AD"
"94",94,12,1,"F",2.118,1.616,1.146,0.058,"2018-05-14",34,1,"F","High","2018-01-20","SC",16.5,3,3,14,NA,"D","D","",0.067875,0.0163832449254021,0.117024734776206,114,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.050125,1.548125,1.078125,2.0275,1.528,1.0795,1.545,14,"12Lab","D"
"95",95,12,1,"G",1.097,0.684,0.422,0.067,"2018-05-17",33,1,"F","High","2018-01-29","ST",19.5,3,4,17,NA,"D","D","",0.067875,0.0163832449254021,0.117024734776206,108,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.029125,0.616125,0.354125,1.045,0.6205,0.3545,0.673333333333333,17,"12Lab","D"
"96",96,12,1,"H",2.208,1.681,1.153,0.064,"2018-05-24",70,2,"F","High","2018-02-18","ST",19,3,4,22,1,"DD","D","D",0.067875,0.0163832449254021,0.117024734776206,95,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.140125,1.613125,1.085125,2.172,1.5985,1.086,1.61883333333333,22,"12Lab","D"
"97",97,13,1,"A",1.281,0.842,0.503,0.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0785,0.00515474815790535,0.093964244473716,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2025,0.7635,0.4245,1.2109375,0.7624375,0.4309375,0.8014375,NA,"13Lab",NA
"98",98,13,1,"B",1.302,0.871,0.528,0.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0785,0.00515474815790535,0.093964244473716,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2235,0.7925,0.4495,1.2469375,0.8014375,0.4509375,0.833104166666667,NA,"13Lab",NA
"99",99,13,1,"C",1.245,0.826,0.493,0.09,"2018-05-16",65,2,"F","High","2018-02-23","ST",20,3,4,14,NA,"D","D","",0.0785,0.00515474815790535,0.093964244473716,82,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1665,0.7475,0.4145,1.1799375,0.7599375,0.4214375,0.787104166666667,14,"13Lab","D"
"100",100,13,1,"D",2.252,1.862,1.357,0.077,"2018-06-04",15,1,"M","High","2018-01-20","SC",28.5,NA,NA,35,14,"DA","D","A",0.0785,0.00515474815790535,0.093964244473716,135,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1735,1.7835,1.2785,2.1779375,1.8524375,1.2994375,1.77660416666667,35,"13Lab","DA"
"101",101,13,1,"E",0.627,0.38,0.229,0.074,"2018-06-06",37,2,"M","Low","2018-02-19","PC",NA,NA,NA,35,14,"AD","A","D",0.0785,0.00515474815790535,0.093964244473716,107,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5485,0.3015,0.1505,0.5474375,0.3144375,0.1549375,0.3389375,14,"13Lab","AD"
"102",102,13,1,"F",2.484,2.396,1.931,0.073,"2018-05-14",20,1,"F","Low","2018-01-19","ST",17,3,3,14,NA,"D","D","",0.0785,0.00515474815790535,0.093964244473716,115,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4055,2.3175,1.8525,2.4579375,2.3744375,1.8769375,2.2364375,14,"13Lab","D"
"103",103,13,1,"G",1.415,0.986,0.609,0.078,"2018-05-16",50,2,"M","High","2018-02-18","SC",26,3,4,14,NA,"D","D","",0.0785,0.00515474815790535,0.093964244473716,87,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3365,0.9075,0.5305,1.3609375,0.9304375,0.5464375,0.9459375,14,"13Lab","D"
"104",104,13,1,"H",1.682,1.168,0.753,0.078,"2018-05-16",55,2,"F","Low","2018-02-27","ST",16,3,4,14,NA,"D","D","",0.0785,0.00515474815790535,0.093964244473716,78,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6035,1.0895,0.6745,1.6324375,1.1019375,0.6919375,1.14210416666667,14,"13Lab","D"
"105",105,14,1,"A",1.502,0.908,0.556,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071,0.00555492059863531,0.0876647617959059,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.431,0.837,0.485,1.441125,0.844125,0.489125,0.924791666666667,NA,"14Lab",NA
"106",106,14,1,"B",1.443,0.876,0.554,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071,0.00555492059863531,0.0876647617959059,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.372,0.805,0.483,1.384125,0.822125,0.483625,0.896625,NA,"14Lab",NA
"107",107,14,1,"C",2.064,1.616,1.213,0.068,"2018-05-19",44,2,"M","Low","2018-01-19","ST",22.5,3,4,17,NA,"D","D","",0.071,0.00555492059863531,0.0876647617959059,120,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.993,1.545,1.142,2.011625,1.547125,1.145125,1.56795833333333,17,"14Lab","D"
"108",108,14,1,"D",0.057,0.056,0.062,0.073,"2018-05-24",49,2,"M","High","2018-02-27","PC",21.5,3,4,22,1,"AD","A","D",0.071,0.00555492059863531,0.0876647617959059,86,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.014,-0.015,-0.00899999999999999,-0.012375,-0.014375,-0.004375,-0.010375,1,"14Lab","A"
"109",109,14,1,"E",0.058,0.056,0.06,0.07,"2018-05-22",11,1,"M","High","2018-02-18","PC",25.5,4,5,22,1,"AD","A","D",0.071,0.00555492059863531,0.0876647617959059,93,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.013,-0.015,-0.011,-0.010875,-0.013875,-0.010375,-0.0117083333333333,1,"14Lab","A"
"110",110,14,1,"F",0.76,0.432,0.268,0.072,"2018-05-19",52,2,"M","High","2018-01-21","SC",35,4,5,17,NA,"D","D","",0.071,0.00555492059863531,0.0876647617959059,118,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.689,0.361,0.197,0.706625,0.369125,0.202125,0.425958333333333,17,"14Lab","D"
"111",111,14,1,"G",2.685,2.429,2.066,0.065,"2018-06-06",50,2,"M","High","2018-02-18","SC",29.5,NA,NA,35,14,"DA","D","A",0.071,0.00555492059863531,0.0876647617959059,108,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.614,2.358,1.995,2.644125,2.397625,1.980625,2.34079166666667,35,"14Lab","DA"
"112",112,14,1,"H",2.782,2.518,2.202,0.075,"2018-06-06",65,2,"F","High","2018-02-23","ST",NA,NA,NA,35,14,"DD","D","D",0.071,0.00555492059863531,0.0876647617959059,103,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.711,2.447,2.131,2.724125,2.461625,2.085625,2.42379166666667,35,"14Lab","DD"
"113",113,15,1,"A",1.613,1.011,0.652,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1055,0.0374966665185053,0.217989999555516,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5075,0.9055,0.5465,1.49475,0.90875,0.55775,0.987083333333333,NA,"15Lab",NA
"114",114,15,1,"B",1.548,1.031,0.661,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1055,0.0374966665185053,0.217989999555516,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4425,0.9255,0.5555,1.44225,0.94025,0.55375,0.97875,NA,"15Lab",NA
"115",115,15,1,"C",2.252,1.805,1.286,0.076,"2018-05-19",51,2,"M","High","2018-02-18","ST",20,3,4,17,NA,"D","D","",0.1055,0.0374966665185053,0.217989999555516,90,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1465,1.6995,1.1805,2.13825,1.70475,1.19325,1.67875,17,"15Lab","D"
"116",116,15,1,"D",1.386,0.912,0.565,0.094,"2018-05-24",63,2,"F","Low","2018-03-07","ST",14.5,2,4,22,1,"DD","D","D",0.1055,0.0374966665185053,0.217989999555516,78,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2805,0.8065,0.4595,1.29825,0.82325,0.47625,0.865916666666667,22,"15Lab","D"
"117",117,15,1,"E",1.909,1.347,0.94,0.182,"2018-05-17",7,1,"M","Low","2018-03-07","SC",24.5,4,4,17,NA,"D","D","",0.1055,0.0374966665185053,0.217989999555516,71,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8035,1.2415,0.8345,1.82675,1.25925,0.84875,1.31158333333333,17,"15Lab","D"
"118",118,15,1,"F",2.525,2.043,1.622,0.077,"2018-05-19",57,2,"F","Low","2018-02-24","SC",16.5,3,4,17,NA,"D","D","",0.1055,0.0374966665185053,0.217989999555516,84,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4195,1.9375,1.5165,2.42375,1.97725,1.55675,1.98591666666667,17,"15Lab","D"
"119",119,15,1,"G",2.526,2.128,1.681,0.088,"2018-05-24",39,2,"M","Low","2018-02-19","SC",30,3,4,22,1,"DA","D","A",0.1055,0.0374966665185053,0.217989999555516,94,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4205,2.0225,1.5755,2.44475,2.04375,1.61775,2.03541666666667,22,"15Lab","D"
"120",120,15,1,"H",2.107,1.313,1.189,0.085,"2018-06-06",69,2,"F","High","2018-02-18","PC",24,NA,NA,35,14,"AD","A","D",0.1055,0.0374966665185053,0.217989999555516,108,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0015,1.2075,1.0835,2.02125,1.20675,1.10725,1.44508333333333,14,"15Lab","AD"
"121",121,16,1,"A",1.442,0.956,0.588,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0745,0.00504267502706366,0.089628025081191,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3675,0.8815,0.5135,1.401125,0.903625,0.524125,0.942958333333333,NA,"16Lab",NA
"122",122,16,1,"B",1.473,0.939,0.597,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0745,0.00504267502706366,0.089628025081191,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3985,0.8645,0.5225,1.440625,0.874125,0.530625,0.948458333333333,NA,"16Lab",NA
"123",123,16,1,"C",0.059,0.059,0.056,0.075,"2018-05-17",18,1,"M","High","2018-01-29","PC",22.5,3,4,17,NA,"A","A","",0.0745,0.00504267502706366,0.089628025081191,108,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0155,-0.0155,-0.0185,-0.013875,-0.013875,-0.015875,-0.0145416666666667,NA,"16Lab","A"
"124",124,16,1,"D",0.057,0.057,0.057,0.075,"2018-05-22",31,1,"F","High","2018-01-20","PC",16,3,3,22,1,"AD","A","D",0.0745,0.00504267502706366,0.089628025081191,122,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0175,-0.0175,-0.0175,-0.014375,-0.014875,-0.016375,-0.0152083333333333,1,"16Lab","A"
"125",125,16,1,"E",1.972,1.389,0.93,0.075,"2018-05-16",59,2,"F","Low","2018-02-18","ST",16.5,3,3,14,NA,"D","D","",0.0745,0.00504267502706366,0.089628025081191,87,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8975,1.3145,0.8555,1.877125,1.373125,0.889625,1.37995833333333,14,"16Lab","D"
"126",126,16,1,"F",0.06,0.06,0.055,0.078,"2018-05-17",28,1,"F","High","2018-02-19","PC",15.5,2,3,17,NA,"A","A","",0.0745,0.00504267502706366,0.089628025081191,87,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0145,-0.0145,-0.0195,-0.011875,-0.013375,-0.018375,-0.0145416666666667,NA,"16Lab","A"
"127",127,16,1,"G",2.892,2.695,2.481,0.071,"2018-05-24",59,2,"F","Low","2018-02-18","ST",17.5,2,3,22,1,"DD","D","D",0.0745,0.00504267502706366,0.089628025081191,95,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8175,2.6205,2.4065,2.823625,2.595625,2.440625,2.61995833333333,22,"16Lab","D"
"128",128,16,1,"H",0.063,0.071,0.066,0.084,"2018-05-14",3,1,"M","Low","2018-01-20","PC",22,3,4,14,NA,"A","A","",0.0745,0.00504267502706366,0.089628025081191,114,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0115,-0.0035,-0.00849999999999999,-0.004875,0.002625,-0.003875,-0.00204166666666666,NA,"16Lab","A"
"129",129,17,1,"A",1.627,1.148,0.721,0.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071125,0.00653425042154252,0.0907277512646275,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.555875,1.076875,0.649875,1.5563125,1.0868125,0.6583125,1.10047916666667,NA,"17Lab",NA
"130",130,17,1,"B",1.582,1.066,0.663,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071125,0.00653425042154252,0.0907277512646275,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.510875,0.994875,0.591875,1.5218125,0.9978125,0.5898125,1.03647916666667,NA,"17Lab",NA
"131",131,17,1,"C",0.049,0.057,0.053,0.077,"2018-05-19",66,2,"F","High","2018-02-23","PC",23,4,4,17,NA,"A","A","",0.071125,0.00653425042154252,0.0907277512646275,85,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.022125,-0.014125,-0.018125,-0.0206875,-0.0166875,-0.0176875,-0.0183541666666667,NA,"17Lab","A"
"132",132,17,1,"D",0.074,0.073,0.055,0.065,"2018-05-24",66,2,"F","High","2018-02-23","PC",22.5,3,4,22,1,"AD","A","D",0.071125,0.00653425042154252,0.0907277512646275,90,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002875,0.001875,-0.016125,0.0023125,0.0003125,-0.0161875,-0.00452083333333333,1,"17Lab","A"
"133",133,17,1,"E",0.848,0.583,0.302,0.074,"2018-05-16",53,2,"M","High","2018-01-21","ST",25,4,5,14,NA,"D","D","",0.071125,0.00653425042154252,0.0907277512646275,115,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.776875,0.511875,0.230875,0.7738125,0.4768125,0.2328125,0.494479166666667,14,"17Lab","D"
"134",134,17,1,"F",0.071,0.119,0.074,0.062,"2018-05-14",8,1,"M","Low","2018-01-20","PC",24,3,3,14,NA,"A","A","",0.071125,0.00653425042154252,0.0907277512646275,114,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000125,0.047875,0.002875,-0.0096875,0.0128125,-0.0076875,-0.00152083333333333,NA,"17Lab","A"
"135",135,17,1,"G",2.793,2.566,2.211,0.065,"2018-05-24",38,2,"M","Low","2018-02-19","ST",25.5,3,5,22,1,"DD","D","D",0.071125,0.00653425042154252,0.0907277512646275,94,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.721875,2.494875,2.139875,2.7528125,2.5278125,2.1658125,2.48214583333333,22,"17Lab","D"
"136",136,17,1,"H",2.936,2.78,2.327,0.07,"2018-06-06",68,2,"F","High","2018-02-23","SC",24,NA,NA,35,14,"DA","D","A",0.071125,0.00653425042154252,0.0907277512646275,103,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.864875,2.708875,2.255875,2.8688125,2.7218125,2.2733125,2.6213125,35,"17Lab","DA"
"137",137,18,1,"A",1.983,1.403,0.852,0.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075375,0.00526273964503552,0.0911632189351066,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.907625,1.327625,0.776625,1.868,1.3175,0.7895,1.325,NA,"18Lab",NA
"138",138,18,1,"B",1.71,1.103,0.663,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075375,0.00526273964503552,0.0911632189351066,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.634625,1.027625,0.587625,1.6265,1.0105,0.5845,1.07383333333333,NA,"18Lab",NA
"139",139,18,1,"C",2.148,1.603,1.03,0.076,"2018-05-22",5,1,"M","Low","2018-02-18","ST",25,4,5,22,1,"DD","D","D",0.075375,0.00526273964503552,0.0911632189351066,93,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.072625,1.527625,0.954625,2.0505,1.527,0.9415,1.50633333333333,22,"18Lab","D"
"140",140,18,1,"D",0.055,0.057,0.054,0.071,"2018-05-16",56,2,"F","Low","2018-02-24","PC",15,3,4,14,NA,"A","A","",0.075375,0.00526273964503552,0.0911632189351066,81,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.020375,-0.018375,-0.021375,-0.0185,-0.016,-0.0195,-0.018,NA,"18Lab","A"
"141",141,18,1,"E",2.675,2.456,1.922,0.079,"2018-06-06",72,2,"F","High","2018-02-18","SC",30.5,NA,NA,35,14,"DA","D","A",0.075375,0.00526273964503552,0.0911632189351066,108,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.599625,2.380625,1.846625,2.6065,2.3135,1.8575,2.25916666666667,35,"18Lab","DA"
"142",142,18,1,"F",0.064,0.055,0.053,0.071,"2018-05-14",36,1,"F","High","2018-02-18","PC",18.5,3,3,14,NA,"A","A","",0.075375,0.00526273964503552,0.0911632189351066,85,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011375,-0.020375,-0.022375,-0.00799999999999999,-0.017,-0.019,-0.0146666666666667,NA,"18Lab","A"
